Category,Polarity,Words
TONE,POSITIVE,admiring
TONE,POSITIVE,adoring
TONE,POSITIVE,affectionate
TONE,POSITIVE,appreciative
TONE,POSITIVE,approving
TONE,POSITIVE,bemused
TONE,POSITIVE,benevolent
TONE,POSITIVE,blithe
TONE,POSITIVE,calm
TONE,POSITIVE,casual
TONE,POSITIVE,celebratory
TONE,POSITIVE,cheerful
TONE,POSITIVE,comforting
TONE,POSITIVE,comic
TONE,POSITIVE,compassionate
TONE,POSITIVE,complimentary
TONE,POSITIVE,conciliatory
TONE,POSITIVE,confident
TONE,POSITIVE,contented
TONE,POSITIVE,delightful
TONE,POSITIVE,earnest
TONE,POSITIVE,ebullient
TONE,POSITIVE,ecstatic
TONE,POSITIVE,effusive
TONE,POSITIVE,elated
TONE,POSITIVE,empathetic
TONE,POSITIVE,encouraging
TONE,POSITIVE,euphoric
TONE,POSITIVE,excited
TONE,POSITIVE,exhilarated
TONE,POSITIVE,expectant
TONE,POSITIVE,facetious
TONE,POSITIVE,fervent
TONE,POSITIVE,flippant
TONE,POSITIVE,forthright
TONE,POSITIVE,friendly
TONE,POSITIVE,funny
TONE,POSITIVE,gleeful
TONE,POSITIVE,gushy
TONE,POSITIVE,happy
TONE,POSITIVE,hilarious
TONE,POSITIVE,hopeful
TONE,POSITIVE,humorous
TONE,POSITIVE,interested
TONE,POSITIVE,introspective 
TONE,POSITIVE,jovial
TONE,POSITIVE,joyful
TONE,POSITIVE,laudatory
TONE,POSITIVE,light
TONE,POSITIVE,lively
TONE,POSITIVE,mirthful
TONE,POSITIVE,modest
TONE,POSITIVE,nostalgic
TONE,POSITIVE,optimistic
TONE,POSITIVE,passionate
TONE,POSITIVE,placid
TONE,POSITIVE,playful
TONE,POSITIVE,poignant
TONE,POSITIVE,proud
TONE,POSITIVE,reassuring
TONE,POSITIVE,reflective
TONE,POSITIVE,relaxed
TONE,POSITIVE,respectful
TONE,POSITIVE,reverent
TONE,POSITIVE,romantic
TONE,POSITIVE,sanguine
TONE,POSITIVE,scholarly
TONE,POSITIVE,self-assured 
TONE,POSITIVE,sentimental
TONE,POSITIVE,serene
TONE,POSITIVE,silly
TONE,POSITIVE,sprightly
TONE,POSITIVE,straightforward
TONE,POSITIVE,sympathetic
TONE,POSITIVE,tender
TONE,POSITIVE,tranquil
TONE,POSITIVE,whimsical
TONE,POSITIVE,wistful
TONE,POSITIVE,worshipful
TONE,POSITIVE,zealous
MOOD,POSITIVE,amused
MOOD,POSITIVE,awed
MOOD,POSITIVE,bouncy
MOOD,POSITIVE,calm
MOOD,POSITIVE,cheerful
MOOD,POSITIVE,chipper
MOOD,POSITIVE,confident
MOOD,POSITIVE,contemplative
MOOD,POSITIVE,content
MOOD,POSITIVE,determined
MOOD,POSITIVE,dignified
MOOD,POSITIVE,dreamy
MOOD,POSITIVE,ecstatic
MOOD,POSITIVE,empowered
MOOD,POSITIVE,energetic
MOOD,POSITIVE,enlightened
MOOD,POSITIVE,enthralled
MOOD,POSITIVE,excited
MOOD,POSITIVE,exhilarated
MOOD,POSITIVE,flirty
MOOD,POSITIVE,giddy
MOOD,POSITIVE,grateful
MOOD,POSITIVE,harmonious
MOOD,POSITIVE,hopeful
MOOD,POSITIVE,hyper
MOOD,POSITIVE,idyllic
MOOD,POSITIVE,joyous
MOOD,POSITIVE,jubilant
MOOD,POSITIVE,liberating
MOOD,POSITIVE,light-hearted
MOOD,POSITIVE,loving
MOOD,POSITIVE,mellow
MOOD,POSITIVE,nostalgic
MOOD,POSITIVE,optimistic
MOOD,POSITIVE,passionate
MOOD,POSITIVE,peaceful
MOOD,POSITIVE,playful
MOOD,POSITIVE,pleased
MOOD,POSITIVE,refreshed
MOOD,POSITIVE,rejuvenated
MOOD,POSITIVE,relaxed
MOOD,POSITIVE,relieved
MOOD,POSITIVE,satiated
MOOD,POSITIVE,satisfied
MOOD,POSITIVE,sentimental
MOOD,POSITIVE,silly
MOOD,POSITIVE,surprised
MOOD,POSITIVE,sympathetic
MOOD,POSITIVE,thankful
MOOD,POSITIVE,thoughtful
MOOD,POSITIVE,touched
MOOD,POSITIVE,trustful
MOOD,POSITIVE,vivacious
MOOD,POSITIVE,warm
MOOD,POSITIVE,welcoming
MOOD,NEGATIVE,aggravated
MOOD,NEGATIVE,annoyed
MOOD,NEGATIVE,anxious
MOOD,NEGATIVE,apathetic
MOOD,NEGATIVE,apprehensive
MOOD,NEGATIVE,barren
MOOD,NEGATIVE,brooding
MOOD,NEGATIVE,cold
MOOD,NEGATIVE,confining
MOOD,NEGATIVE,confused
MOOD,NEGATIVE,cranky
MOOD,NEGATIVE,crushed
MOOD,NEGATIVE,cynical
MOOD,NEGATIVE,depressed
MOOD,NEGATIVE,desolate
MOOD,NEGATIVE,disappointed
MOOD,NEGATIVE,discontented
MOOD,NEGATIVE,distressed
MOOD,NEGATIVE,drained
MOOD,NEGATIVE,dreary
MOOD,NEGATIVE,embarrassed
MOOD,NEGATIVE,enraged
MOOD,NEGATIVE,envious
MOOD,NEGATIVE,exhausted
MOOD,NEGATIVE,fatalistic
MOOD,NEGATIVE,foreboding
MOOD,NEGATIVE,frustrated
MOOD,NEGATIVE,futile
MOOD,NEGATIVE,gloomy
MOOD,NEGATIVE,grumpy
MOOD,NEGATIVE,haunting
MOOD,NEGATIVE,heartbroken
MOOD,NEGATIVE,hopeless
MOOD,NEGATIVE,hostile
MOOD,NEGATIVE,indifferent
MOOD,NEGATIVE,infuriated
MOOD,NEGATIVE,insidious
MOOD,NEGATIVE,intimidated
MOOD,NEGATIVE,irate
MOOD,NEGATIVE,irritated
MOOD,NEGATIVE,jealous
MOOD,NEGATIVE,lethargic
MOOD,NEGATIVE,lonely
MOOD,NEGATIVE,melancholic
MOOD,NEGATIVE,merciless
MOOD,NEGATIVE,moody
MOOD,NEGATIVE,morose
MOOD,NEGATIVE,nauseated
MOOD,NEGATIVE,nervous
MOOD,NEGATIVE,nightmarish
MOOD,NEGATIVE,numb
MOOD,NEGATIVE,overwhelmed
MOOD,NEGATIVE,painful
MOOD,NEGATIVE,pensive
MOOD,NEGATIVE,pessimistic
MOOD,NEGATIVE,predatory
MOOD,NEGATIVE,rejected
MOOD,NEGATIVE,restless
MOOD,NEGATIVE,scared
MOOD,NEGATIVE,serious
MOOD,NEGATIVE,sick
MOOD,NEGATIVE,somber
MOOD,NEGATIVE,stressed
MOOD,NEGATIVE,suspenseful
MOOD,NEGATIVE,tense
MOOD,NEGATIVE,terrifying
MOOD,NEGATIVE,threatening
MOOD,NEGATIVE,uncomfortable
MOOD,NEGATIVE,vengeful
MOOD,NEGATIVE,violent
MOOD,NEGATIVE,worried
TONE,NEGATIVE,abhorring
TONE,NEGATIVE,acerbic
TONE,NEGATIVE,ambiguous
TONE,NEGATIVE,ambivalent
TONE,NEGATIVE,angry
TONE,NEGATIVE,annoyed
TONE,NEGATIVE,antagonistic
TONE,NEGATIVE,anxious
TONE,NEGATIVE,apathetic
TONE,NEGATIVE,apprehensive
TONE,NEGATIVE,belligerent
TONE,NEGATIVE,bewildered
TONE,NEGATIVE,biting
TONE,NEGATIVE,bitter
TONE,NEGATIVE,blunt
TONE,NEGATIVE,bossy
TONE,NEGATIVE,cold
TONE,NEGATIVE,conceited
TONE,NEGATIVE,condescending
TONE,NEGATIVE,confused
TONE,NEGATIVE,contemptuous
TONE,NEGATIVE,curt
TONE,NEGATIVE,cynical
TONE,NEGATIVE,demanding
TONE,NEGATIVE,depressed
TONE,NEGATIVE,derisive
TONE,NEGATIVE,derogatory
TONE,NEGATIVE,desolate
TONE,NEGATIVE,despairing
TONE,NEGATIVE,desperate
TONE,NEGATIVE,detached
TONE,NEGATIVE,diabolic
TONE,NEGATIVE,disappointed
TONE,NEGATIVE,disliking
TONE,NEGATIVE,disrespectful
TONE,NEGATIVE,doubtful
TONE,NEGATIVE,embarrassed
TONE,NEGATIVE,enraged
TONE,NEGATIVE,evasive
TONE,NEGATIVE,fatalistic
TONE,NEGATIVE,fearful
TONE,NEGATIVE,forceful
TONE,NEGATIVE,foreboding
TONE,NEGATIVE,frantic
TONE,NEGATIVE,frightened
TONE,NEGATIVE,frustrated
TONE,NEGATIVE,furious
TONE,NEGATIVE,gloomy
TONE,NEGATIVE,grave
TONE,NEGATIVE,greedy
TONE,NEGATIVE,grim
TONE,NEGATIVE,harsh
TONE,NEGATIVE,haughty
TONE,NEGATIVE,holier-than-thou
TONE,NEGATIVE,hopeless
TONE,NEGATIVE,hostile
TONE,NEGATIVE,impatient
TONE,NEGATIVE,incredulous 
TONE,NEGATIVE,indifferent
TONE,NEGATIVE,indignant
TONE,NEGATIVE,inflammatory
TONE,NEGATIVE,insecure
TONE,NEGATIVE,insolent
TONE,NEGATIVE,irreverent
TONE,NEGATIVE,lethargic
TONE,NEGATIVE,melancholy
TONE,NEGATIVE,mischievous
TONE,NEGATIVE,miserable
TONE,NEGATIVE,mocking
TONE,NEGATIVE,mournful
TONE,NEGATIVE,nervous
TONE,NEGATIVE,ominous
TONE,NEGATIVE,outraged
TONE,NEGATIVE,paranoid
TONE,NEGATIVE,pathetic
TONE,NEGATIVE,patronizing
TONE,NEGATIVE,pedantic
TONE,NEGATIVE,pensive
TONE,NEGATIVE,pessimistic
TONE,NEGATIVE,pretentious
TONE,NEGATIVE,psychotic
TONE,NEGATIVE,resigned
TONE,NEGATIVE,reticent
TONE,NEGATIVE,sarcastic
TONE,NEGATIVE,sardonic
TONE,NEGATIVE,scornful
TONE,NEGATIVE,self-deprecating
TONE,NEGATIVE,selfish
TONE,NEGATIVE,serious
TONE,NEGATIVE,severe
TONE,NEGATIVE,sinister
TONE,NEGATIVE,skeptical
TONE,NEGATIVE,sly
TONE,NEGATIVE,solemn
TONE,NEGATIVE,somber
TONE,NEGATIVE,stern
TONE,NEGATIVE,stolid
TONE,NEGATIVE,stressful
TONE,NEGATIVE,strident
TONE,NEGATIVE,suspicious
TONE,NEGATIVE,tense
TONE,NEGATIVE,threatening
TONE,NEGATIVE,tragic
TONE,NEGATIVE,uncertain
TONE,NEGATIVE,uneasy
TONE,NEGATIVE,unfriendly
TONE,NEGATIVE,unsympathetic
TONE,NEGATIVE,upset
TONE,NEGATIVE,violent
TONE,NEGATIVE,wry